	TAXA_1	TAXA_2	TAXA_3	TAXA_4	TAXA_5	TAXA_6	TAXA_7	TAXA_8	TAXA_9	TAXA_10	TAXA_11	TAXA_12	TAXA_13	TAXA_14
TAXA_1	0.0	-1.3197676980249565e-09	-2.1571253028474209e-10	-8.022032243903008e-10	0.0	-1.7004590486514406e-11	0.0	0.0	0.0	0.0	-7.602331776107387e-11	0.0	-8.86697065559138e-11	-2.283202534379003e-10
TAXA_2	-2.0280959195664263e-09	0.0	-4.2904349776234986e-10	-5.639500365735489e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.488666599222104e-10	0.0	0.0
TAXA_3	0.0	0.0	0.0	-2.2937698200878643e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_4	-4.1516624651858356e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_5	0.0	0.0	-1.2788478854489815e-10	-1.8050233475632446e-10	0.0	0.0	0.0	0.0	-1.7732835044543483e-10	0.0	0.0	0.0	0.0	0.0
TAXA_6	0.0	0.0	-1.295488701188541e-10	-3.6390942395916594e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_8	0.0	0.0	0.0	-1.1984809373937995e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_9	0.0	0.0	0.0	-9.129810818270806e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_10	-8.047037498724313e-10	0.0	-3.267839139354695e-10	-5.091097691108726e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_11	-7.297737806150377e-10	0.0	-3.4704991654685503e-10	-3.2455023690154533e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_13	0.0	0.0	0.0	-1.547646113570595e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAXA_14	-9.94903242408333e-10	-2.408158169543253e-10	-2.619132929321546e-10	-5.965792505607227e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3718692057899965e-11	0.0	0.0
