	TAXA_1	TAXA_2	TAXA_3	TAXA_4	TAXA_5	TAXA_6	TAXA_7	TAXA_8	TAXA_9	TAXA_10	TAXA_11	TAXA_12	TAXA_13	TAXA_14
TAXA_1	0.0	0.10583981236155149	0.002920691851989562	0.005572713174166839	0.0016273535381815636	0.001125389975122143	0.00032058951656941607	0.0002529140620218484	0.0020556366710212863	0.0007210628028706554	0.00132395760730082	0.0012569051703288695	0.001991841175901897	0.0021805548711378306
TAXA_2	0.0087044052237883	0.0	0.0032827137743731247	0.005760807789299582	0.0018723079510030915	0.0010290396888335033	0.000275027502750275	0.000560299320231899	0.002543047170430186	0.001342138064376826	0.0007962178412326742	0.0020835064355373832	0.0019281263324830377	0.0028388650796133514
TAXA_3	0.0051562361688943965	0.0013011597892234497	0.0	0.005111021701410717	0.0011639840797016195	0.0004723098300972437	0.00018315018315018315	0.00013972996318519648	0.0016596332765726413	0.00026938582445335495	0.0004912863866064384	0.0012124658276286987	0.0013970416368968186	0.0006885310787261762
TAXA_4	0.004779467108234231	0.0012898563596579762	0.00234119464532504	0.0	0.0012256362581742192	0.0005162929254162326	0.0001862792839835018	0.00015927787827914785	0.0016596332765726413	0.000296794618124258	0.0004798737031792359	0.0010274830967328906	0.0013684817055603573	0.0006799587637910991
TAXA_5	0.005387934541029003	0.001718372654653539	0.002425507085646419	0.005070768730415856	0.0	0.0005201744021915288	0.00017039035730624517	0.00016915144303679335	0.002080111067986661	0.0002961201864491994	0.0005004748177700063	0.0010683760683760685	0.0013957916612116583	0.0007613714510266234
TAXA_6	0.0048209366391184574	0.001482543630349635	0.0025614482136221265	0.005160786248869151	0.0012481700963376356	0.0	0.0002189022379046132	0.00017225070360033166	0.0017424559424886275	0.00043427909669947886	0.0005310918198746361	0.0010181704260651629	0.0014910267147231048	0.0010063375618779363
TAXA_7	0.012347542567322787	0.0014209353080541064	0.0030037473516644543	0.006828392938535845	0.0014114707575198038	0.0006265072272686174	0.0	0.00021123610397786577	0.0019650161159595124	0.00040543573938111465	0.0011134172179703378	0.006114852889046438	0.0015466715216637067	0.0012604099037359432
TAXA_8	0.006798448250845749	0.0012504957208100398	0.0024012718915267643	0.005451054466273804	0.001293419038675694	0.0005799275207050428	0.000291743654575513	0.0	0.0021568042810456234	0.0003284892447454024	0.0005650847825914139	0.001194286344931969	0.0015087546071279611	0.0007546628005519019
TAXA_9	0.007746455225446822	0.0012569051703288695	0.0027527527527527527	0.005290350375195314	0.0012499140609136244	0.0005193973683866669	0.00022307133886764117	0.00018065170468453	0.0	0.00026938582445335495	0.0005209518057483797	0.0016866606601919707	0.0013709495421382694	0.0008689809598062855
TAXA_10	0.004926637608201854	0.001366016824917858	0.002696085368960344	0.005199674493860204	0.0013089302547445172	0.0005401144266765902	0.0003419778242672654	0.0001494709423853245	0.0018514294543755542	0.0	0.0005221186049461665	0.0012691986376196901	0.0014975753541884567	0.0010514927550325781
TAXA_11	0.005252900855696429	0.003776738578448386	0.0027593673113817433	0.0052974112271330425	0.001679516101043655	0.0006460930373973852	0.0002565223973489882	0.000177223245138936	0.0018011789534968343	0.0007399936950584323	0.0	0.001201651589749908	0.0015709691126226807	0.001361710380555729
TAXA_12	0.0061377820110032275	0.0011379866068028986	0.002597596955573609	0.005517647214398117	0.001174032932525653	0.00046778850172647717	0.00017318176667597312	0.00012104204002303814	0.0014910267147231048	0.00029983326345349416	0.0005859828111708723	0.0	0.0013561867557386601	0.0007916532778055386
TAXA_13	0.007639336089241572	0.0014792899408284023	0.0023897194802206022	0.005061879564437836	0.0012446867285576962	0.0005299186081722167	0.0001862792839835018	0.00013216528780935028	0.0016731056554065403	0.00028035662816354906	0.0005432643772564722	0.0011567585462711227	0.0	0.0006928333374614366
TAXA_14	0.00494382437271575	0.0020264270915878214	0.002794915393261167	0.004989308072946484	0.001384575719062108	0.000556719287927947	0.00031307113294414175	0.0001522224477369596	0.001912266837639972	0.0003333177251096067	0.0006773954043961523	0.0013610959102210785	0.0015702904670372845	0.0
