	name	median	mean	25th percentile	75th percentile
0	NA TAXA_1	0.03948784869795638	0.05371025933953748	0.01687861756965102	0.07504853705292885
1	NA TAXA_2	0.25085634192626927	0.25456136420403375	0.17691170486991226	0.32780075698720734
2	NA TAXA_3	0.23191800415323552	0.2389523516687652	0.16485148144624684	0.3077036416497595
3	NA TAXA_4	0.3354873463162056	0.33706210227153044	0.26413274401602105	0.4083910092101413
4	NA TAXA_5	0.3395179879418001	0.34078142287780944	0.27234776780225145	0.4075239634169931
5	NA TAXA_6	0.28043301630934014	0.2838529664964352	0.2027647019722137	0.3639573768492651
6	NA TAXA_7	0.241929489451646	0.2451622122530911	0.1662071879536241	0.32331526818971645
7	NA TAXA_8	0.1533117001681565	0.15979843036340702	0.09602312582277434	0.21417112861776644
8	NA TAXA_9	0.22921799947050503	0.23914549452435313	0.1549133288595249	0.31632920153848215
9	NA TAXA_10	0.25200376709784983	0.2552702568984921	0.18803342502037285	0.3236874552610811
10	NA TAXA_11	0.13321306801858168	0.14061419894496135	0.07597563604038825	0.1964676026324528
11	NA TAXA_12	0.0914325138896849	0.09776318670373862	0.049847097765704756	0.1356419348779959
12	NA TAXA_13	0.31443328993203007	0.32206529352551855	0.245785174527347	0.3953536781929585
13	NA TAXA_14	0.26424989950778144	0.26535937195470827	0.1841063469961351	0.33480588102378256
14	Mean parameter for the truncated normal prior of the growth parameter	1.150484201062853	1.605782869035138	0.5061240750768692	2.2628003339214167
