	0.0	0.25	1.25	2.25	3.25	5.25	7.25	9.25	13.25	16.25	20.25	23.25	27.25	28.0	28.25	29.25	30.25	31.25	33.25	35.25	37.25	41.25	44.25	48.25	51.25	55.25
TAXA_1	187919336.3236197	122599640.58275618	43599034.77058267	26338359.865324274	19393772.63492929	11929750.017750457	8849621.376274515	7541822.593904508	6896336.32547434	5901881.150783587	4599089.9615910975	3608106.830179521	1839693.4321893211	1520776.255156772	1420260.3713638938	1070806.590782274	746162.0939886724	524525.6618858065	276714.1638687621	131321.653399167	59329.47158135628	13946.68125210057	5576.329946161895	1810.992826535923	921.6961252773341	418.7919947350675
TAXA_2	1419.0362677683327	1337.76409947289	1367.853499872148	1651.0497875335643	2051.8745454704012	3364.7852904367774	5140.993940415796	7985.368337472451	23514.599862812123	64922.036978387594	309856.4742211545	1121989.0203411356	8494067.0074389	12491772.665060937	14487018.145473875	26444971.268336445	51348647.18290103	82272213.46188933	153352630.29477197	186790595.3028499	203379324.40877765	157148500.21605545	152275420.73316497	123117179.6912128	117606217.71380444	147205220.71118706
TAXA_3	106032653.53912008	106815229.57630073	101992497.1855046	93005167.84335959	88986095.17554186	81071352.92992225	75344990.58789933	70911484.36039402	67560464.68710473	67605375.07367182	68284366.52442974	76482227.47227308	48252965.651391044	46536258.86111613	46604563.9587264	43624289.77108837	40729780.24160038	39474957.884543516	40959045.696914	43428935.511111975	45685311.45061563	55257680.960119404	54954126.49068596	52668985.3093884	51794716.30900608	65890075.39722046
TAXA_4	103355029.87002392	51767347.37508982	21360169.885927197	17966970.998004586	16720169.948916078	15954034.624647927	14566058.375798767	14375111.213376967	13937723.583591042	14284558.539660655	13397348.3957431	13895518.308207847	12075144.787304062	12500119.671825217	12660647.838563014	13331350.260956593	12530084.895285353	12400670.13667953	12340662.575017123	12890999.811264858	14422456.634114558	16144920.97613225	13434719.174442362	11552760.667025687	11277070.153108686	15793335.995941693
TAXA_5	26425128.95555096	29900548.97562837	45935513.460596144	58432014.06748163	72239523.99830206	100937240.74195284	123295503.62095039	140397382.36984572	177898845.5576894	182209638.64102066	158418904.6856321	186687667.01322865	92757085.84904638	95525889.07987994	95564999.97835143	99180624.56049919	111275521.28558299	130135598.63983746	211617277.14955288	260699717.10062262	213487882.03186554	185258194.6762556	172907806.20219162	160886807.8169384	152599588.3168993	295836139.1997727
TAXA_6	358530821.20393264	376457132.83944523	406832071.22277224	389845234.9064063	393956983.0361934	369382359.03546506	347250766.15000343	363841100.22216773	411026057.953851	441340330.4918411	392252433.87579554	477184417.6152216	274707232.79042757	274308721.09583735	276979493.6282805	302411335.01614046	399230064.01395136	469879529.1463598	580983687.2223715	630512027.893036	567202665.7857184	459676287.5329279	401967541.9766535	368010682.37426084	350911893.4295145	636955200.5726281
TAXA_7	944131765.6130737	1326085473.246013	2736005956.7958765	1587096895.3668115	1479689390.2172644	1227001885.7215006	1044909547.85692	1156831154.2947185	1376939513.775084	1500342487.8588908	1265430010.9595456	1883548020.3367088	933470027.1492072	827607680.0174466	805137729.1119452	713273082.6732719	921455963.1607534	1119714076.3613548	1561005722.5215275	1672800875.5916142	1660248889.435438	1270235821.7026448	1158746933.2123384	1036900199.4369648	1050828992.4437368	4077067362.928579
TAXA_8	733806962.4047098	832986594.0652277	1121656680.9171948	1080213652.6935992	1072248340.484515	1028363541.3198481	1008388230.5501184	1163062797.4545958	1592563829.0783978	1991562445.3869424	1836370307.768672	2542203319.7363505	1252039532.9373398	1039294839.054788	976498697.5599847	769083343.2976003	861337605.2865456	898210292.7551064	968099463.3126123	941660676.6163528	833355368.4495335	596978520.4905043	608283443.5346045	927818907.5876479	1261496979.0895233	3482720108.902244
TAXA_9	11494482.235418845	14023377.932532657	22930378.416926716	33692396.645187974	44384414.617405914	67205630.19859244	86469617.46721599	98588090.95183869	115100506.14751846	118956142.74482779	121248614.69327164	141174703.05546236	80746858.38392052	76435406.9610605	74050130.86825691	64823677.4230808	60079148.58346963	57524493.27968686	54384731.615172885	55225158.34639338	61316231.439870775	79929609.8974663	90810679.04351097	93807580.96081161	89419153.15073654	127351707.96879221
