	0.0	0.25	1.25	2.25	3.25	5.25	7.25	9.25	13.25	16.25	20.25	23.25	27.25	28.0	28.25	29.25	30.25	31.25	33.25	35.25	37.25	41.25	44.25	48.25	51.25	55.25
TAXA_1	0.4121	0.3129	0.455	0.4455	0.49	0.547	0.5595	0.5856	0.6241	0.6125	0.6154	0.6124	0.4616	0.2886	0.2985	0.4221	0.4316	0.476	0.5449	0.5371	0.5846	0.6152	0.6188	0.6227	0.6265	0.7219
TAXA_2	0.3342	0.3119	0.4349	0.4359	0.4718	0.5405	0.5329	0.58	0.6214	0.6217	0.625	0.6144	0.4688	0.2937	0.2997	0.4356	0.4263	0.4738	0.5911	0.6057	0.5848	0.6697	0.6522	0.691	0.6663	0.7269
TAXA_3	0.4946	0.3211	0.4947	0.4975	0.5108	0.5898	0.5944	0.6177	0.6681	0.6523	0.6722	0.6436	0.525	0.3067	0.3066	0.4598	0.4625	0.5172	0.5974	0.5977	0.6064	0.6568	0.6478	0.6791	0.6619	0.7094
TAXA_4	0.4925	0.324	0.4912	0.5018	0.5138	0.6037	0.604	0.6038	0.6953	0.6591	0.678	0.6431	0.5259	0.3031	0.3094	0.4791	0.4693	0.5257	0.6077	0.6139	0.6157	0.6911	0.6549	0.693	0.6676	0.7203
TAXA_5	0.3228	0.3003	0.4267	0.4389	0.4945	0.5814	0.5941	0.6341	0.6017	0.6618	0.6823	0.6514	0.526	0.306	0.3026	0.47	0.4725	0.5157	0.5934	0.6016	0.5978	0.6653	0.6629	0.683	0.6593	0.7042
TAXA_6	0.3795	0.3134	0.4854	0.4939	0.4978	0.5964	0.5931	0.6247	0.4194	0.6592	0.6688	0.6355	0.545	0.3098	0.3208	0.4675	0.4724	0.5029	0.5813	0.5985	0.5771	0.6592	0.6617	0.6902	0.662	0.7101
TAXA_7	0.3883	0.3203	0.4506	0.5056	0.4454	0.6116	0.546	0.555	0.2457	0.6142	0.5891	0.5929	0.5423	0.3123	0.3093	0.4724	0.4821	0.52	0.5962	0.5704	0.5663	0.6261	0.638	0.6559	0.5997	0.6865
TAXA_8	0.3488	0.3041	0.4522	0.4424	0.4591	0.5741	0.5467	0.5989	0.2073	0.6323	0.577	0.6093	0.4913	0.3045	0.3029	0.4464	0.4532	0.5137	0.5801	0.4949	0.559	0.6372	0.6529	0.6328	0.6373	0.6824
TAXA_9	0.3512	0.3112	0.449	0.4543	0.5084	0.5923	0.5855	0.6106	0.597	0.6235	0.6416	0.6105	0.5353	0.2981	0.3187	0.4645	0.4773	0.5136	0.6002	0.589	0.6116	0.6831	0.6485	0.6767	0.6453	0.6956
TAXA_10	0.3667	0.3122	0.474	0.4712	0.4886	0.5918	0.5777	0.6299	0.299	0.6484	0.6644	0.6532	0.52	0.3046	0.3153	0.4635	0.4628	0.5059	0.5898	0.5991	0.5969	0.6901	0.6531	0.6719	0.656	0.7072
TAXA_11	0.4754	0.3228	0.4865	0.4771	0.5052	0.5955	0.5924	0.6327	0.4844	0.6633	0.6771	0.6416	0.5156	0.2995	0.3073	0.4619	0.4593	0.512	0.5751	0.5968	0.5909	0.6704	0.6651	0.6769	0.6762	0.7207
TAXA_12	0.5883	0.2998	0.4847	0.4835	0.5182	0.5928	0.5766	0.6235	0.5943	0.6441	0.6621	0.6524	0.4982	0.3019	0.3116	0.4574	0.4574	0.4979	0.5759	0.5613	0.6165	0.6652	0.6563	0.6641	0.6542	0.7011
TAXA_13	0.3346	0.3131	0.4575	0.4551	0.5063	0.6054	0.6071	0.6174	0.6059	0.641	0.6624	0.6285	0.5401	0.309	0.3176	0.4776	0.473	0.5214	0.6075	0.6095	0.6125	0.6814	0.6655	0.682	0.6467	0.7109
TAXA_14	0.4795	0.3154	0.4875	0.4862	0.5152	0.5953	0.5904	0.6324	0.4826	0.6467	0.6796	0.6647	0.5244	0.3017	0.3164	0.4604	0.4637	0.5104	0.5934	0.6063	0.6397	0.695	0.6719	0.6814	0.6625	0.7214
