	0.0	0.25	1.25	2.25	3.25	5.25	7.25	9.25	13.25	16.25	20.25	23.25	27.25	28.0	28.25	29.25	30.25	31.25	33.25	35.25	37.25	41.25	44.25	48.25	51.25	55.25
TAXA_1	0.4156	0.3273	0.4674	0.4613	0.4985	0.5645	0.5631	0.5939	0.6299	0.6294	0.6068	0.6208	0.4614	0.2922	0.3027	0.43	0.4426	0.4764	0.5394	0.5423	0.5775	0.6181	0.6216	0.6265	0.6233	0.7281
TAXA_2	0.3396	0.2981	0.4246	0.4244	0.4776	0.5381	0.5424	0.577	0.623	0.6171	0.6181	0.6201	0.4704	0.2962	0.2997	0.4381	0.4306	0.4823	0.572	0.5926	0.5843	0.6594	0.6501	0.7036	0.6764	0.7208
TAXA_3	0.3557	0.3094	0.4743	0.4673	0.5088	0.598	0.596	0.6138	0.6887	0.6507	0.6746	0.6629	0.5073	0.299	0.3002	0.4526	0.4605	0.5091	0.5971	0.5825	0.6179	0.6773	0.6642	0.6873	0.6606	0.7109
TAXA_4	0.3773	0.3145	0.4758	0.4822	0.5164	0.6099	0.6163	0.6162	0.7097	0.662	0.6545	0.6344	0.5291	0.3152	0.3108	0.4728	0.4692	0.5137	0.6084	0.6079	0.619	0.6867	0.6625	0.7022	0.6529	0.7006
TAXA_5	0.3282	0.3042	0.4283	0.4343	0.48	0.5602	0.5876	0.6084	0.6912	0.6486	0.6649	0.646	0.5083	0.2993	0.3062	0.4667	0.4617	0.509	0.5986	0.6107	0.6122	0.683	0.6697	0.6905	0.6491	0.6999
TAXA_6	0.3302	0.2984	0.4646	0.4602	0.5089	0.5692	0.5951	0.6109	0.6979	0.6181	0.667	0.6251	0.5013	0.2972	0.3089	0.4578	0.4653	0.494	0.5867	0.6121	0.5994	0.6753	0.6592	0.6827	0.6512	0.7175
TAXA_7	0.3319	0.3044	0.494	0.495	0.5314	0.5403	0.5881	0.5934	0.6743	0.5657	0.6086	0.4337	0.5094	0.3039	0.3035	0.4522	0.4739	0.4818	0.587	0.5951	0.6066	0.6733	0.6559	0.648	0.5918	0.6998
TAXA_8	0.323	0.3054	0.4513	0.4411	0.4846	0.5168	0.5359	0.5998	0.6581	0.5433	0.6092	0.325	0.4841	0.2918	0.2958	0.4258	0.4444	0.444	0.5595	0.5589	0.6226	0.6675	0.6452	0.6032	0.5699	0.6875
TAXA_9	0.3193	0.3009	0.4361	0.4474	0.4915	0.5748	0.5869	0.6066	0.6864	0.6559	0.6622	0.6266	0.5192	0.3039	0.3101	0.4494	0.4661	0.5076	0.5935	0.5902	0.6238	0.6926	0.6689	0.6853	0.6601	0.7074
TAXA_10	0.3355	0.3031	0.4419	0.4486	0.4921	0.5522	0.568	0.6113	0.681	0.586	0.6744	0.5985	0.4898	0.2979	0.3059	0.4415	0.4556	0.4694	0.5764	0.6013	0.619	0.6885	0.6726	0.6683	0.6301	0.7099
TAXA_11	0.3327	0.312	0.4793	0.467	0.5149	0.5635	0.5737	0.6104	0.675	0.6236	0.666	0.65	0.5012	0.2974	0.2969	0.4508	0.4548	0.4902	0.5655	0.5913	0.6012	0.6715	0.6546	0.6546	0.6483	0.7098
TAXA_12	0.3373	0.3105	0.4801	0.4655	0.5197	0.573	0.5729	0.616	0.663	0.6411	0.6647	0.6597	0.4851	0.2917	0.3015	0.4408	0.4449	0.4858	0.562	0.561	0.6205	0.6567	0.6509	0.6569	0.6372	0.7088
TAXA_13	0.3335	0.3201	0.4493	0.449	0.5011	0.6007	0.6062	0.5966	0.678	0.6362	0.6446	0.6129	0.5226	0.2987	0.3037	0.4744	0.4753	0.5073	0.5913	0.6074	0.6033	0.6663	0.6467	0.6901	0.6571	0.7015
TAXA_14	0.3348	0.3058	0.4554	0.4481	0.502	0.5633	0.5869	0.6134	0.6973	0.6269	0.6772	0.6483	0.508	0.3014	0.3156	0.4511	0.4657	0.4968	0.587	0.608	0.6144	0.6917	0.6758	0.6739	0.6559	0.7241
